inventory_type
Flower Lot
Kief
Marijuana Extract for Inhalation
Bubble Hash
CO2 Hash Oil
Infused Cooking Oil
Solid Marijuana Infused Edible
Hash
Food Grade Solvent Extract
Liquid Marijuana Infused Edible
Hydrocarbon Wax
Infused Dairy Butter or Fat in Solid Form
Marijuana Infused Topicals
Marijuana Mix
Marijuana Mix Packaged
Marijuana Mix Infused
Capsule
Tincture
Suppository
