id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1894,Gog & Magog,Indica,,,"Sleepy, Hungry, Uplifted, Euphoric, Happy, Dry Mouth","Insomnia, Lack of Appetite, Pain, Stress",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,Goldberry,Indica,,,"Euphoric, Tingly, Creative, Happy, Focused, Dry Mouth, Paranoid","Nausea, Stress, Pain, Depression","Mint, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,Gooberry,Hybrid,,TGA Seeds,"Euphoric, Happy, Relaxed, Horny, Dry Mouth","Pain, Stress, Nausea, Lack of Appetite, Inflammation","Berry, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,Gorilla Biscuit,Hybrid,,Seeds Of Compassion,"Happy, Sleepy, Relaxed, Euphoric, Hungry, Dry Mouth","Pain, Insomnia, Stress, Depression, Lack of Appetite","Coffee, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,Goverment Mule,Indica,,,"Euphoric, Relaxed",,"Sweet, Lemon",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,Grand Doggy Purps,Indica,,,"Relaxed, Focused, Creative, Happy, Uplifted, Dry Mouth, Anxious, Paranoid","Pain, Stress, Depression, Inflammation, Muscle Spasms","Grape, Sweet, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,Grandmaâ€™s Sugar Cookies,Indica,,,"Relaxed, Sleepy, Happy, Talkative, Anxious","Pain, Stress, Depression",Sweet,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,Grandpa Larry OG,Hybrid,,Grand Daddy Purp,"Relaxed, Euphoric, Happy, Tingly, Uplifted, Dry Mouth, Paranoid","Insomnia, Depression, Stress, Pain, Inflammation","Sweet, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,Grandpaâ€™s Breath,Indica,,,"Relaxed, Creative, Sleepy, Uplifted, Euphoric","Insomnia, Stress","Earthy, Grape",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,Grape Cookies,Hybrid,,Purple Caper Seeds,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Muscle Spasms, Pain, Insomnia","Grape, Sweet, Berry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,Grape Drink,Hybrid,,Unknown Breeder,"Tingly, Creative, Euphoric, Happy","Depression, Pain, Stress","Grape, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,Grape Inferno,Hybrid,,TGA Seeds,"Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious","Insomnia, Pain, Stress, Depression, Inflammation",Citrus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,Grape OX,Hybrid,,Rare Dankness Seeds,"Hungry, Sleepy, Relaxed, Tingly, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Grape, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,Grape Valley Kush,Hybrid,,Moxie Seeds,"Relaxed, Sleepy, Euphoric, Hungry, Creative","Lack of Appetite, Pain, Muscle Spasms, Inflammation, Depression",Pineapple,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,Green Dragon,Hybrid,,Master Thai,"Relaxed, Euphoric, Uplifted, Sleepy, Happy, Dry Mouth, Paranoid, Anxious","Pain, Stress, Nausea, Depression","Sweet, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,Green Love Potion,Hybrid,,Samsara Seeds,"Relaxed, Horny, Tingly, Euphoric, Sleepy, Dry Mouth","Pain, Muscle Spasms, Insomnia, Lack of Appetite, Stress",Pine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,Green Mango,Hybrid,,Unknown Breeder,"Euphoric, Uplifted, Happy, Talkative, Creative","Muscle Spasms, Pain","Citrus, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,Green Poison,Hybrid,,Sweet Seeds,"Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid","Stress, Lack of Appetite, Muscle Spasms, Insomnia, Pain","Sweet, Citrus",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,Green Python,Hybrid,,House Of Funk Genetics,"Sleepy, Euphoric, Happy, Relaxed, Tingly, Dry Mouth","Insomnia, Lack of Appetite, Muscle Spasms, Pain","Sweet, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,Grimace OG,Hybrid,,Archive Seed Bank,"Sleepy, Euphoric, Relaxed, Horny, Happy, Dry Mouth","Depression, Insomnia, Lack of Appetite",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,Grimace,Indica,,,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Pain, Depression, Lack of Appetite","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,Grimmdica,Hybrid,,Brothers Grimm Marijuana Seed Bank,"Euphoric, Relaxed",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,Guard Dawg,Hybrid,,RedEyed Genetics,"Euphoric, Happy, Relaxed",Muscle Spasms,"Sweet, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,Guido Kush,Indica,,,"Euphoric, Uplifted, Creative, Relaxed, Sleepy, Dry Mouth, Paranoid","Stress, Nausea, Pain, Depression, Insomnia",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,Gumbo,Hybrid,,Canadian Hemp Company,"Euphoric, Relaxed, Happy, Talkative, Sleepy, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Inflammation","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,Gutbuster,Hybrid,,Exotic Genetix,"Relaxed, Creative, Sleepy","Pain, Stress, Muscle Spasms",Berry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,Hades Haze,Indica,,,"Relaxed, Sleepy, Talkative, Euphoric","Insomnia, Depression, Lack of Appetite, Pain","Citrus, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,Hammerhead,Hybrid,,Medical Seeds Co.,"Sleepy, Horny, Tingly, Relaxed, Euphoric, Dry Mouth","Insomnia, Pain, Stress, Lack of Appetite","Berry, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Haoma,Indica,,,"Relaxed, Happy, Sleepy, Hungry, Uplifted, Dry Mouth","Stress, Insomnia, Inflammation, Pain, Muscle Spasms","Citrus, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,Hardcore OG,Indica,,,"Happy, Relaxed, Uplifted, Sleepy, Focused, Dry Mouth, Anxious","Stress, Pain, Insomnia, Depression","Earthy, Pine, Blueberry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,Harmonia,Indica,,,"Relaxed, Happy, Uplifted, Focused, Sleepy, Dry Mouth","Pain, Inflammation, Stress","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Hashbar OG,Hybrid,,Archive Seed Bank,"Euphoric, Happy, Creative, Uplifted, Relaxed, Dry Mouth","Lack of Appetite, Stress, Depression, Insomnia, Pain","Sweet, Earthy, Skunk",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,Hawaiian Purple Kush,Hybrid,,Stoney Girl Gardens,"Relaxed, Happy, Hungry, Sleepy, Dry Mouth, Anxious","Stress, Insomnia, Lack of Appetite, Pain, Depression",Sweet,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,Himalayan Blackberry,Indica,,,"Sleepy, Happy, Tingly, Euphoric, Relaxed, Dry Mouth","Insomnia, Stress, Depression, Lack of Appetite","Berry, Blueberry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,Honey Boo Boo,Indica,,,"Relaxed, Sleepy, Euphoric, Tingly, Uplifted, Dry Mouth, Anxious","Pain, Stress, Depression, Lack of Appetite","Honey, Citrus, Lemon",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Hulkamania,Indica,,,"Horny, Tingly, Uplifted, Euphoric, Happy","Depression, Inflammation, Insomnia, Lack of Appetite","Sweet, Berry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,Humboldt Dream,Indica,,,"Creative, Relaxed, Uplifted, Happy, Sleepy, Dry Mouth","Stress, Insomnia, Lack of Appetite, Pain, Depression","Berry, Sweet, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,Iced Widow,Indica,,,"Relaxed, Happy, Talkative, Hungry, Dry Mouth, Anxious","Lack of Appetite, Stress, Pain, Insomnia, Depression","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,IFC OG,Indica,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Ill OG,Indica,,,"Sleepy, Tingly, Euphoric, Happy, Dry Mouth","Depression, Inflammation, Insomnia, Lack of Appetite","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,Illuminati OG,Indica,,,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth","Depression, Insomnia, Stress","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,Irish Cream,Indica,,,"Uplifted, Euphoric, Relaxed, Sleepy","Inflammation, Lack of Appetite, Muscle Spasms, Nausea",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,Jack Burton,Indica,,,"Horny, Sleepy, Uplifted, Creative, Euphoric","Inflammation, Insomnia, Pain, Stress","Sweet, Rose",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,Jawa Pie,Indica,,,"Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid","Depression, Insomnia, Lack of Appetite, Pain","Earthy, Honey",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,Jedi Kush,Hybrid,,The Cali Connection,"Relaxed, Euphoric, Happy, Uplifted, Sleepy, Dry Mouth, Anxious","Stress, Pain, Depression, Insomnia","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,Jelly Roll,Indica,,,"Relaxed, Happy, Tingly","Nausea, Stress",Sweet,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,Joliet Jake,Indica,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,Josh D OG,Indica,,,"Horny, Paranoid",,"Berry, Blueberry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,Jr,Indica,,,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious","Pain, Stress, Insomnia, Depression, Nausea","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,JT15,Indica,,,"Relaxed, Sleepy, Happy, Hungry, Uplifted",Depression,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,K-Train,Hybrid,,Green House Seed Co.,"Happy, Euphoric, Uplifted, Creative, Horny, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Citrus, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Kali China,Indica,,,"Creative, Relaxed, Euphoric, Uplifted, Focused","Depression, Pain, Nausea, Stress, Insomnia",Mango,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,,Hybrid,,Dinafem Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,Kandahar,Hybrid,,Ministry of Cannabis,"Relaxed, Sleepy, Uplifted, Euphoric","Insomnia, Depression, Pain, Stress",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,Katsu Bubba Kush,Indica,,,"Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth","Stress, Pain, Depression, Insomnia, Lack of Appetite","Berry, Grape",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,Katsu Kush,Indica,,,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Muscle Spasms, Depression","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,KC 36,Indica,,,"Sleepy, Relaxed, Uplifted, Euphoric, Hungry, Paranoid","Depression, Stress","Sweet, Blueberry, Grape",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,Kelly Hill Gold,Indica,,,"Happy, Energetic, Euphoric, Talkative, Horny, Dry Mouth","Pain, Stress, Inflammation, Muscle Spasms","Pepper, Earthy, Coffee",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,Khufu,Hybrid,,The Devils Harvest,"Relaxed, Euphoric, Happy, Focused, Uplifted, Dry Mouth","Pain, Insomnia, Stress, Depression",Sweet,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,King Louis XIII,Hybrid,,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Pain, Depression, Muscle Spasms","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,Kiwiskunk,Hybrid,,Kiwiseeds,"Happy, Hungry, Sleepy, Creative, Horny","Depression, Insomnia, Stress",Citrus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Kobain Kush,Hybrid,,RedEyed Genetics,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Anxious","Pain, Stress, Depression, Insomnia",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Kool-Aid Smile,Indica,,,"Relaxed, Talkative, Uplifted, Creative, Euphoric",,"Berry, Grape",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,Kraken,Indica,,,"Relaxed, Sleepy, Happy, Talkative, Euphoric, Paranoid, Dry Mouth","Stress, Insomnia, Muscle Spasms",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,Krishna Kush,Indica,,,"Relaxed, Happy, Horny, Sleepy","Pain, Insomnia, Stress","Sweet, Berry, Lavender",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,Kubbie Kush,Indica,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,Kushadelic,Hybrid,,Soma Seeds,"Relaxed, Sleepy, Hungry, Euphoric, Uplifted, Dry Mouth, Paranoid","Insomnia, Inflammation, Lack of Appetite, Pain, Stress","Pine, Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,LA OG,Hybrid,,Unknown Breeder,"Relaxed, Euphoric, Tingly, Happy, Sleepy, Dry Mouth, Paranoid","Pain, Stress, Muscle Spasms, Inflammation","Berry, Grape",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,LA Ultra,Indica,,,"Relaxed, Euphoric, Happy, Sleepy, Tingly, Dry Mouth, Paranoid","Insomnia, Stress, Pain",Lemon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,L.A.K. Federal Reserve,Indica,,,"Relaxed, Tingly, Hungry, Uplifted, Creative, Dry Mouth","Lack of Appetite, Nausea, Pain, Stress","Lemon, Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,Las Vegas Purple Kush BX,Indica,,,"Sleepy, Happy, Relaxed, Horny, Creative",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,Lashkar Gah,Indica,,,"Relaxed, Euphoric, Sleepy, Hungry, Happy","Pain, Insomnia, Lack of Appetite, Stress","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,Lee Roy,Hybrid,,Rare Dankness Seeds,"Relaxed, Sleepy, Happy, Euphoric, Creative, Dry Mouth, Paranoid","Pain, Depression, Stress, Insomnia","Lime, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,Legend OG,Hybrid,,Unknown Breeder,"Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Dry Mouth","Insomnia, Pain, Nausea, Stress, Depression","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,Lime Purple Mist,Indica,,,"Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth","Lack of Appetite, Pain, Stress, Depression","Lime, Berry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,Lime Sorbet,Indica,,,"Euphoric, Relaxed, Sleepy, Uplifted, Happy","Insomnia, Stress","Lime, Sweet, Lemon",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Locomotion,Hybrid,,TGA Seeds,"Euphoric, Relaxed, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Nausea",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,Love Potion #9,Hybrid,,Joker Collection,"Relaxed, Euphoric, Happy, Sleepy, Dry Mouth","Stress, Depression, Pain, Insomnia","Sweet, Honey",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,Lucid Bolt,Indica,,,"Hungry, Relaxed, Sleepy, Talkative, Dry Mouth","Insomnia, Lack of Appetite, Stress, Depression","Blueberry, Berry, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,Mad Scientist,Hybrid,,Unknown Breeder,"Relaxed, Euphoric, Uplifted, Focused, Sleepy, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Depression, Muscle Spasms","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,Madzilla,Indica,,,"Tingly, Uplifted, Euphoric, Happy, Relaxed",,"Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,Magic Beans OG,Indica,,,"Happy, Sleepy, Euphoric, Relaxed, Tingly","Depression, Stress","Lemon, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,Magnificent Mile,Indica,,,"Euphoric, Tingly, Happy, Sleepy, Uplifted, Dry Mouth","Depression, Pain, Insomnia, Nausea","Berry, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,Mangolicious,Indica,,,"Talkative, Uplifted, Creative, Energetic, Euphoric","Depression, Muscle Spasms, Pain","Sweet, Pineapple",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,Master Jedi,Indica,,,"Relaxed, Hungry, Euphoric, Creative, Sleepy, Dry Mouth, Anxious","Stress, Insomnia, Inflammation, Depression","Earthy, Skunk",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,Mataro Blue,Hybrid,,Kannabia,"Relaxed, Euphoric, Hungry, Happy, Tingly, Dry Mouth","Pain, Stress, Depression, Insomnia, Muscle Spasms","Berry, Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Matsu,Indica,,,"Euphoric, Tingly, Happy, Sleepy, Hungry, Dry Mouth","Pain, Insomnia, Stress, Nausea",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Mazar Kush,Indica,,,"Relaxed, Sleepy, Happy, Hungry, Dry Mouth, Anxious","Pain, Insomnia, Inflammation, Stress, Nausea",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Mendo Breath,Hybrid,,Gage Green Group,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,Merlot OG,Hybrid,,Ocean Grown Seeds,"Relaxed, Happy, Uplifted, Euphoric, Tingly, Dry Mouth","Stress, Insomnia, Muscle Spasms, Depression",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,Milky Way,Hybrid,,Kiwiseeds,"Euphoric, Happy, Relaxed, Sleepy, Tingly, Dry Mouth, Paranoid","Stress, Depression, Pain, Nausea","Sweet, Lavender",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Molokaâ€™i Frost,Indica,,,"Uplifted, Relaxed, Euphoric, Happy, Tingly","Depression, Pain, Stress, Inflammation",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Molokaâ€™i Purpz,Indica,,,"Horny, Creative, Euphoric, Relaxed, Sleepy, Dry Mouth, Anxious","Inflammation, Insomnia, Lack of Appetite, Muscle Spasms, Nausea","Berry, Grape, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Money Maker,Hybrid,,Strain Hunters Seed Bank,"Relaxed, Sleepy, Happy, Hungry, Uplifted, Dry Mouth, Paranoid","Pain, Insomnia, Muscle Spasms, Depression, Lack of Appetite","Earthy, Berry, Skunk",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Monolith,Indica,,,"Relaxed, Sleepy, Tingly, Euphoric, Focused","Insomnia, Lack of Appetite, Pain, Stress, Depression","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Mossad,Indica,,,"Euphoric, Focused, Relaxed, Paranoid",,"Sweet, Lemon, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mossimo OG,Indica,,,"Euphoric, Focused, Relaxed, Sleepy, Uplifted, Dry Mouth","Depression, Nausea, Pain, Stress","Honey, Lemon",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,Motavation,Hybrid,,Magus Genetics,"Relaxed, Creative, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Muscle Spasms",Sweet,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,Mother of Berries,Indica,,,"Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Anxious, Paranoid","Stress, Insomnia, Pain, Depression, Lack of Appetite","Berry, Blueberry, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Mt. Cook,Indica,,,"Euphoric, Focused, Happy, Relaxed, Sleepy","Depression, Inflammation, Lack of Appetite, Muscle Spasms","Ammonia, Pepper",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Mud Bite,Indica,,,"Euphoric, Relaxed, Sleepy, Uplifted",Pain,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Murkle,Indica,,,Dry Mouth,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Negra 44,Indica,,,"Creative, Energetic, Relaxed, Hungry, Talkative","Insomnia, Lack of Appetite, Muscle Spasms, Pain","Sweet, Earthy, Citrus",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Nexus OG,Hybrid,,Unknown Breeder,"Relaxed, Euphoric, Happy, Horny, Sleepy, Dry Mouth","Depression, Insomnia, Lack of Appetite, Nausea","Sweet, Berry, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Nice Cherry,Hybrid,,Unknown Breeder,"Happy, Talkative, Uplifted, Relaxed, Hungry, Dry Mouth","Depression, Insomnia, Lack of Appetite, Stress","Sweet, Berry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Nicole Kush,Hybrid,,DNA Genetics,"Relaxed, Euphoric, Sleepy, Uplifted, Dry Mouth","Insomnia, Depression","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Night Terror OG,Hybrid,,Rare Dankness Seeds,"Relaxed, Sleepy, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid","Insomnia, Stress, Pain, Depression","Berry, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Night Train,Hybrid,,Unknown Breeder,"Relaxed, Sleepy, Tingly, Euphoric, Uplifted","Insomnia, Pain, Stress, Lack of Appetite",Pepper,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Nordle,Hybrid,,Mr. Nice,"Relaxed, Happy, Sleepy, Focused, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Inflammation, Muscle Spasms",Pine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,North American Indica,Indica,,,"Relaxed, Focused, Sleepy, Uplifted, Dry Mouth","Insomnia, Pain, Depression, Nausea",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,North Indian,Indica,,,"Uplifted, Happy, Hungry, Horny, Sleepy, Dry Mouth","Muscle Spasms, Nausea, Stress",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Northern Wreck,Hybrid,,Unknown Breeder,"Euphoric, Happy, Relaxed, Creative, Uplifted, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Earthy, Pine",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Nuken,Hybrid,,Vancouver Seed Bank,"Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid","Depression, Lack of Appetite, Pain","Citrus, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Obama Kush,Hybrid,,Unknown Breeder,"Relaxed, Uplifted, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Nausea, Muscle Spasms","Earthy, Sweet",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,OCA Gold,Indica,,,"Sleepy, Relaxed, Tingly, Euphoric, Happy","Stress, Depression, Inflammation, Insomnia","Honey, Vanilla",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,OG Eddy Lepp,Hybrid,,3rd Generation Family,"Happy, Sleepy, Hungry, Talkative, Tingly",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,OG LA Affie,Indica,,,"Relaxed, Happy, Euphoric, Tingly, Dry Mouth","Pain, Stress, Insomnia, Depression","Earthy, Pepper",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,OG Los Angeles Kush,Indica,,,"Sleepy, Relaxed, Happy, Hungry, Tingly",Pain,Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Ogre Berry,Hybrid,,HappyDay Farms,"Focused, Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Lack of Appetite, Insomnia, Pain, Depression","Blueberry, Berry, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Opal OG Kush,Indica,,,"Relaxed, Euphoric, Horny, Happy, Focused, Dry Mouth, Paranoid","Stress, Insomnia, Muscle Spasms, Depression, Lack of Appetite","Earthy, Lavender, Strawberry",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Orange Afghani,Indica,,,"Uplifted, Euphoric, Happy, Hungry, Relaxed","Depression, Insomnia, Lack of Appetite, Pain","Sweet, Orange",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Orange Romulan,Indica,,,"Euphoric, Relaxed","Muscle Spasms, Pain","Sweet, Citrus, Orange",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Oregon Diesel,Hybrid,,Unknown Breeder,"Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious","Depression, Stress, Insomnia, Pain",Earthy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Ortega,Hybrid,,Mr. Nice,"Relaxed, Uplifted, Euphoric, Sleepy, Dry Mouth","Depression, Pain","Pepper, Earthy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
