id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
274,Ogre,Hybrid,0,Unknown Breeder,,,,"Richmond, CA",,1900,,,0,,0,,,,,,,,
275,Old Lyme Connecticut OG,Hybrid,0,,,,,,,0,,,0,,0,,,,,,,,
276,Orange Bud,Hybrid,0,Dutch Passion Seed Company,,,,,,127,,,0,,0,,,,,,,,
277,Orange Crush,Hybrid,0,BC Growers Association,,,,,,127,,,0,,0,,,,,,,,
278,Orange Dream,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
279,Orange Kush,Hybrid,0,Green Devil Genetics,"Relaxed, Happy, Uplifted, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia, Nausea","Citrus, Orange, Sweet",,,0,,,0,,0,,,,,,,,
280,Orange Velvet,Hybrid,0,TGA Seeds,,,,,,0,,,0,,0,,,,,,,,
281,Organic Diesel,Hybrid,0,,,,,,,0,,,0,,0,,,,,,,,
282,P-91,Hybrid,0,,,,,,,0,,,0,,0,,,,,,,,
283,Panama Red,Hybrid,0,Sensi Seeds,"Happy, Uplifted, Energetic, Focused, Horny, Dry Mouth, Anxious, Paranoid","Depression, Stress, Pain","Citrus, Pine",,,0,,,0,,0,,,,,,,,
284,Pandora's Box,Sativa,"196, 386",TGA,,,,,,0,,,0,,0,,,,,,,,
285,Papaya,Hybrid,0,Nirvana,"Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Inflammation",Sweet,"Richmond, CA",,1500,,,0,,0,,,,,,,,
286,Permafrost,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
287,Pineapple,Hybrid,0,Unknown Breeder,,,,"Richmond, CA",,2000,,,100,,10000,,,,,,,,
288,Pineapple Diesel,Hybrid,0,Dynasty Seeds,,,,", CA",,1600,,,0,,0,,,,,,,,
289,Pineapple Express,Hybrid,0,G13 Labs,,,,"Valley Center, CA",,1400,,,0,,0,,,,,,,,
290,Pineapple Kush,Hybrid,0,Royal Queen,,,,"Southern California, CA",,1900,,,0,,0,,,,,,,,
291,Pineapple Thai,Hybrid,0,Unknown Breeder,"Happy, Relaxed, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid","Pain, Muscle Spasms, Stress, Depression","Pineapple, Sweet","Richmond, CA",,1300,,,0,,0,,,,,,,,
292,Pineapple Trainwreck,Hybrid,0,Dying Breed Seeds,,,,,,127,,,0,,0,,,,,,,,
293,Pink Pez,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
294,Pitbull,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Nausea, Insomnia","Earthy, Sweet",,,0,,,0,,0,,,,,,,,
295,Platinum Bubba,Hybrid,0,Unknown Breeder,,,,"Baltimore, MD",,1600,,,0,,0,,,,,,,,
296,Platinum Bubba Kush,Indica,0,Holistic Healing Collective,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Inflammation",Earthy,"Richmond, CA",,1700,,,0,,0,,,,,,,,
297,Platinum Kush,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Lack of Appetite, Pain, Depression","Earthy, Sweet",,,127,,,0,,0,,,,,,,,
298,Platinum OG,Indica,0,The Bionosphere,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Pain, Depression, Lack of Appetite","Earthy, Sweet","Morongo Basin, CA",,1600,,,0,,0,,,,,,,,
299,Platinum Purple Kush,Indica,0,,"Relaxed, Euphoric, Happy, Hungry, Uplifted, Dry Mouth, Paranoid, Anxious","Insomnia, Stress, Pain, Depression, Lack of Appetite","Sweet, Berry, Earthy",,,127,,,0,,0,,,,,,,,
300,Pluto Kush,Indica,0,,"Euphoric, Sleepy, Creative, Hungry, Relaxed, Dry Mouth","Insomnia, Pain, Stress, Depression, Nausea","Blueberry, Berry",,,0,,,0,,0,,,,,,,,
301,Poison Haze,Sativa,0,,"Energetic, Happy, Relaxed, Uplifted, Dry Mouth, Paranoid","Depression, Insomnia, Nausea, Pain, Stress","Citrus, Orange",,,0,,,0,,0,,,,,,,,
302,Pot of Gold,Hybrid,0,Flying Dutchmen Seed Company,"Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth","Insomnia, Pain, Lack of Appetite, Stress","Sweet, Grape, Pineapple",,,127,,,0,,0,,,,,,,,
303,Power Kush,Hybrid,0,Dinafem Seeds,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Paranoid, Dry Mouth, Anxious","Stress, Pain, Depression, Muscle Spasms","Sweet, Skunk, Lime",,,127,,,0,,0,,,,,,,,
304,Power Plant,Hybrid,0,Dutch Passion Seed Company,"Happy, Uplifted, Relaxed, Euphoric, Energetic, Dry Mouth, Paranoid","Pain, Stress, Depression, Inflammation",Earthy,", CA",,1200,,,0,,0,,,,,,,,
305,Pre 98 Bubba Kush,Hybrid,0,Unknown Breeder,,,,"Upland, CA",,1300,,,0,,0,,,,,,,,
